Марка;Модель;Годы;Экран;Магнитола;Цена магнитолы;Рамка;Артикул рамки;Цена рамки;Проводка;Цена проводки;Итого;Статус;Вариантов рамок;Вариантов проводки;Рамок с фото
BMW;X1;2009–2015;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для BMW X1 (E84) 2009 - 2015 для 12,3 дюйма магнитолы;TK3093;1575;Переходник Андроид магнитолы для BMW 3 (E90) 2005-2013, X1 (E84) 2009-2015;2414;30389;ок;1;2;0
BMW;X3;2003–2010;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для BMW X3 (E83) 2003 - 2010 9 дюймов;BM 026N;1810;Переходник Андроид магнитолы для BMW X3 (E83) 2006-2010;3698;22508;ок;1;1;0
BMW;X3;2003–2010;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в  BMW X3 (E83) 2003 - 2010 для 12,3 дюйма магнитолы взамен верхнего дисплея;TK3106;2673;Переходник Андроид магнитолы для BMW X3 (E83) 2006-2010;3698;32771;ок;1;1;0
BMW;X3;2011–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для BMW X3 (F25) 2011 - 2017 9 дюймов;BM 032N;1780;Переходник Андроид магнитолы для BMW X3 (E83) 2006-2010;3698;22478;ПРОВЕРИТЬ: годы проводки не совпали;1;1;0
BMW;X3;2011–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для BMW X3 (F25) 2011 - 2017 для 12,3 дюйма магнитолы;FR-BW 101C;2747;Переходник Андроид магнитолы для BMW X3 (E83) 2006-2010;3698;32845;ПРОВЕРИТЬ: годы проводки не совпали;1;1;0
BMW;X5;1995–2003;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для BMW X5 (E53) 1995 - 2003 9 дюймов тип A;BM 022N;721;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;20105;ок;1;2;0
BMW;X5;2006–2013;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для BMW X5 (E70), X6 (E71) 2006 - 2013 для 12,3 дюйма магнитолы (левый руль);016B;1520;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;30304;ок;1;2;0
BMW;X5;2014–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для BMW X5 (F15) 2014 - 2017 для 12,3 дюйма магнитолы;TK3097;2218;Переходник Андроид магнитолы для BMW 3,5,X5 (E46,E39,E53) 1995-2006 XP;2384;31002;ПРОВЕРИТЬ: годы проводки не совпали;1;2;0
Chery;Tiggo 5;2014–2020;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Chery Tiggo 5 2014 - 2020 10 дюймов;CHETI5MFA;646;Переходник Андроид магнитолы для Chery Tiggo 5 2014-2016;1875;19621;ок;1;1;0
Chevrolet;Aveo;2006–2011;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Epica, Aveo, 2006 - 2011 9 дюймов;CH 043N;767;Переходник Андроид магнитолы для GM концерна;680;18447;ок;1;2;0
Chevrolet;Aveo;2007–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Aveo 2006 - 2011, Captiva 2006 - 2012, Epica 2007 - 2012 9 дюймов;CH 080N;654;Переходник Андроид магнитолы для GM концерна;680;18334;ок;1;2;0
Chevrolet;Aveo;2011–2015;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Aveo 2011 - 2015 9 дюймов;CH 032N;1086;Переходник Андроид магнитолы для GM концерна;680;18766;ок;1;2;0
Chevrolet;Camaro;2016–2026;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Chevrolet Camaro 2016+ 9 дюймов;CH 100N;2564;Переходник Андроид магнитолы для GM концерна;680;20244;ок;1;1;0
Chevrolet;Captiva;2006–2011;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Captiva 2006 - 2011 9 дюймов;CH 072N;1444;Переходник Андроид магнитолы для GM концерна;680;19124;ок;1;2;0
Chevrolet;Captiva;2007–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Aveo 2006 - 2011, Captiva 2006 - 2012, Epica 2007 - 2012 9 дюймов;CH 080N;654;Переходник Андроид магнитолы для GM концерна;680;18334;ок;1;2;0
Chevrolet;Captiva;2011–2015;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Chevrolet Captiva 2011 - 2015 10 дюймов;CH 052T;1461;Переходник Андроид магнитолы для GM концерна;680;19241;ок;1;2;0
Chevrolet;Cobalt;2011–2016;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Cobalt 2011 - 2016, Ravon R4 2016 - 2020 9 дюймов (черная);CH 056N;1239;Переходник Андроид магнитолы для GM концерна;680;18919;ок;2;2;0
Chevrolet;Colorado;2006–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Chevrolet Colorado 2006 - 2012, Isuzu D-Max 2006 - 2012 9 дюймов;IS 014N;1237;Переходник Андроид магнитолы для GM концерна;680;18917;ок;1;1;0
Chevrolet;Colorado;2013–2020;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Chevrolet Colorado 2013+ 9 дюймов;CH 046N;1411;Переходник Андроид магнитолы для GM концерна;680;19091;ок;1;1;0
Chevrolet;Cruze;2008–2013;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Cruze 2008 - 2013 9 дюймов (черная);AYCRZD013;1397;Переходник Андроид магнитолы для GM концерна;680;19077;ок;2;3;0
Chevrolet;Cruze;2008–2013;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chevrolet Cruze 2008 — 2013 для 12,3 магнитолы;K75 PA1 PA3;6743;Переходник Андроид магнитолы для GM концерна;680;33823;ок;1;3;0
Chevrolet;Cruze;2012–2015;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Cruze 2012 - 2015 9 дюймов (черная);TK663;1106;Переходник Андроид магнитолы для GM концерна;680;18786;ок;2;3;0
Chevrolet;Equinox;2016–2025;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Chevrolet Equinox 2016+ 10 дюймов;CH 070T;2322;Переходник Андроид магнитолы для Chevrolet Malibu 2018+;3745;23167;ок;1;2;0
Chevrolet;Lacetti;2004–2013;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Lacetti 2004 - 2013 9 дюймов (хэтч и вагон, кондиционер, черн);BU 021N;1079;Переходник Андроид магнитолы для GM концерна;680;18759;ок;2;2;0
Chevrolet;Lacetti;2004–2013;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Chevrolet Lacetti 2004 - 2013 10 дюймов (седан, кондиционер, черная);CH 083T;1357;Переходник Андроид магнитолы для GM концерна;680;19137;ок;6;2;0
Chevrolet;Malibu;2015–2024;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Malibu 2015+ 9 дюймов;CH 104N;2586;Переходник Андроид магнитолы для Chevrolet, Opel;800;20386;ок;1;3;0
Chevrolet;Niva;2002–2026;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Лада Нива Тревел (Lada Niva Travel) 20+, Chevrolet Niva 02 - 20 9 дюймов;CH 123N;3108;Переходник Андроид магнитолы для Лада Нива Тревел 2020+, Chevrolet Niva 2009-2020;555;20663;ок;1;1;0
Chevrolet;Spark;2009–2016;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Spark (III), Daewoo Matiz (III) 2009 - 2016 9 дюймов (ч. глянец);CH 040N;1475;Переходник Андроид магнитолы для GM концерна;680;19155;ок;1;1;0
Chevrolet;Tahoe;2006–2014;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Tahoe 2006 - 2014 9 дюймов черная;GM 002N;1358;Переходник Андроид магнитолы для GM концерна;680;19038;ок;2;2;0
Chevrolet;Trailblazer;2012–2015;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chevrolet Trailblazer 2012 - 2015, Isuzu D-Max 2012+ 9 дюймов;IS 012N;949;Переходник Андроид магнитолы для Isuzu D-Max 2012+, Chevrolet Trailblazer 2012-2015;522;18471;ок;1;3;0
Chrysler;200;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;300;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;300M;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Airflow;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Airstream;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Avenger;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Centura;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Charger;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Cirrus;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Concorde;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Conquest;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Cordoba;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Crossfire;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Daytona;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Dynasty;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;E-Class;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Executive;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Fifth Avenue;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Grand Voyager;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Horizon;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Imperial;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Intrepid;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;LHS;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Laser;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;LeBaron;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Neon;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;New Yorker;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Newport;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;PT Cruiser;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Pacifica;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Prowler;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Royal;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Saratoga;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Sebring;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Sigma;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Stratus;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;TC;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Town & Country;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Vision;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Chrysler;Voyager;2000–2008;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Chrysler Voyager 2000 - 2008 10 дюймов;CR 009T;1493;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;23481;ок;1;1;0
Chrysler;Voyager;2004–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Chrysler, Dodge, Jeep 2004 - 2017 для 12,3 дюйма магнитолы;050B;2330;Переходник Андроид магнитолы для Chrysler, Dodge, Jeep 1999-2007;4988;33718;ок;1;1;0
Citroen;Berlingo;2008–2018;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Citroen Berlingo, Peugeot Partner 2015 - 2018 9 дюймов;CI 022N;583;Переходник Андроид магнитолы для Peugeot, Citroen 2012+ (XP);2500;20083;ок;1;2;0
Citroen;C-Crosser;2007–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Mitsubishi Outlander 2007 - 2012 9 дюймов;MI 055N;1331;Переходник Андроид магнитолы для Mitsubishi 2007+ XP;2351;20682;ок;1;3;0
Citroen;C4;2010–2016;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Citroen C4 2010 - 2016 10 дюймов;CI 027T;1109;Переходник Андроид магнитолы для Peugeot, Citroen 2012+ (XP);2500;20709;ок;1;1;0
Citroen;C4 Aircross;2010–2016;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Mitsubishi ASX, RVR 2010 - 2016 10 дюймов тип 2;MI 079T;2409;Переходник Андроид магнитолы для Peugeot, Citroen 2012+ (XP);2500;22009;ок;1;1;0
